day,top_n,strategy,selected_count,hit_in_top_n,coverage
20260721,100,04_core_discount,10,10,0.1
20260721,100,11_holder_concentration,10,10,0.1
20260721,100,12_divergence_warning,10,10,0.1
20260721,100,13_dividend_yield,10,10,0.1
20260721,100,19_52w_position,10,10,0.1
20260721,100,20_main_fund_ratio,0,0,0.0
20260721,100,21_volume_acceleration,10,10,0.1
20260721,100,22_capital_momentum,10,10,0.1
20260721,100,02_weekly_ma,10,10,0.1
20260721,100,05_double_bottom,1,1,0.01
20260721,100,06_three_soldiers,10,10,0.1
20260721,100,17_northbound_top,10,10,0.1
20260721,200,04_core_discount,10,10,0.05
20260721,200,11_holder_concentration,10,10,0.05
20260721,200,12_divergence_warning,10,10,0.05
20260721,200,13_dividend_yield,10,10,0.05
20260721,200,19_52w_position,10,10,0.05
20260721,200,20_main_fund_ratio,1,1,0.005
20260721,200,21_volume_acceleration,10,10,0.05
20260721,200,22_capital_momentum,10,10,0.05
20260721,200,02_weekly_ma,10,10,0.05
20260721,200,05_double_bottom,6,6,0.03
20260721,200,06_three_soldiers,10,10,0.05
20260721,200,17_northbound_top,10,10,0.05
20260721,300,04_core_discount,10,10,0.0333
20260721,300,11_holder_concentration,10,10,0.0333
20260721,300,12_divergence_warning,10,10,0.0333
20260721,300,13_dividend_yield,10,10,0.0333
20260721,300,19_52w_position,10,10,0.0333
20260721,300,20_main_fund_ratio,1,1,0.0033
20260721,300,21_volume_acceleration,10,10,0.0333
20260721,300,22_capital_momentum,10,10,0.0333
20260721,300,02_weekly_ma,10,10,0.0333
20260721,300,05_double_bottom,10,10,0.0333
20260721,300,06_three_soldiers,10,10,0.0333
20260721,300,17_northbound_top,10,10,0.0333
20260721,500,04_core_discount,10,10,0.02
20260721,500,11_holder_concentration,10,10,0.02
20260721,500,12_divergence_warning,10,10,0.02
20260721,500,13_dividend_yield,10,10,0.02
20260721,500,19_52w_position,10,10,0.02
20260721,500,20_main_fund_ratio,5,5,0.01
20260721,500,21_volume_acceleration,10,10,0.02
