strategy,top_n,avg_selected,avg_hit_in_top_n,stability_jaccard,sample_size
02_weekly_ma,100,10.0,10.0,0.3989,4
02_weekly_ma,200,10.0,10.0,0.4013,4
02_weekly_ma,300,10.0,10.0,0.3914,4
02_weekly_ma,500,10.0,10.0,0.4098,4
02_weekly_ma,1000,10.0,10.0,0.4098,4
04_core_discount,100,10.0,10.0,0.5812,4
04_core_discount,200,10.0,10.0,0.5912,4
04_core_discount,300,10.0,10.0,0.5912,4
04_core_discount,500,10.0,10.0,0.5912,4
04_core_discount,1000,10.0,10.0,0.5912,4
05_double_bottom,100,0.75,0.75,0.0,4
05_double_bottom,200,7.5,7.5,0.1701,4
05_double_bottom,300,10.0,10.0,0.2794,4
05_double_bottom,500,10.0,10.0,0.2794,4
05_double_bottom,1000,10.0,10.0,0.2794,4
06_three_soldiers,100,10.0,10.0,0.1298,4
06_three_soldiers,200,10.0,10.0,0.1298,4
06_three_soldiers,300,10.0,10.0,0.1298,4
06_three_soldiers,500,10.0,10.0,0.1298,4
06_three_soldiers,1000,10.0,10.0,0.1298,4
11_holder_concentration,100,10.0,10.0,0.627,4
11_holder_concentration,200,10.0,10.0,0.7929,4
11_holder_concentration,300,10.0,10.0,0.798,4
11_holder_concentration,500,10.0,10.0,0.798,4
11_holder_concentration,1000,10.0,10.0,0.7929,4
12_divergence_warning,100,10.0,10.0,0.627,4
12_divergence_warning,200,10.0,10.0,0.7929,4
12_divergence_warning,300,10.0,10.0,0.798,4
12_divergence_warning,500,10.0,10.0,0.798,4
12_divergence_warning,1000,10.0,10.0,0.7929,4
13_dividend_yield,100,10.0,10.0,0.5659,4
13_dividend_yield,200,10.0,10.0,0.5018,4
13_dividend_yield,300,10.0,10.0,0.4331,4
13_dividend_yield,500,10.0,10.0,0.5104,4
13_dividend_yield,1000,10.0,10.0,0.4548,4
17_northbound_top,100,10.0,10.0,0.627,4
17_northbound_top,200,10.0,10.0,0.7929,4
17_northbound_top,300,10.0,10.0,0.798,4
17_northbound_top,500,10.0,10.0,0.798,4
17_northbound_top,1000,10.0,10.0,0.7929,4
19_52w_position,100,10.0,10.0,0.3671,4
19_52w_position,200,10.0,10.0,0.7677,4
19_52w_position,300,10.0,10.0,0.7677,4
19_52w_position,500,10.0,10.0,0.6744,4
19_52w_position,1000,10.0,10.0,0.4623,4
20_main_fund_ratio,100,0.5,0.5,0.0,4
20_main_fund_ratio,200,2.5,2.5,0.0208,4
20_main_fund_ratio,300,3.5,3.5,0.037,4
20_main_fund_ratio,500,6.25,6.25,0.1435,4
20_main_fund_ratio,1000,9.5,9.5,0.148,4
21_volume_acceleration,100,9.5,9.5,0.0098,4
21_volume_acceleration,200,10.0,10.0,0.0185,4
21_volume_acceleration,300,10.0,10.0,0.0273,4
21_volume_acceleration,500,10.0,10.0,0.0273,4
21_volume_acceleration,1000,10.0,10.0,0.0185,4
22_capital_momentum,100,10.0,10.0,0.5698,4
22_capital_momentum,200,10.0,10.0,0.5698,4
22_capital_momentum,300,10.0,10.0,0.5698,4
22_capital_momentum,500,10.0,10.0,0.5301,4
22_capital_momentum,1000,10.0,10.0,0.5301,4
